96,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,103
49,0,1,1,1,1,1,1,2,83,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,54
49,44,45,28,23,23,27,45,46,83,44,45,28,23,23,27,45,45,45,45,45,45,45,28,23,23,27,45,46,54
112,113,34,22,23,23,24,37,113,99,113,34,22,23,23,24,37,115,115,115,115,115,34,22,23,23,24,37,115,119
49,0,1,50,23,23,49,1,1,1,1,1,50,23,23,49,1,1,1,1,1,1,1,50,23,23,49,1,2,54
49,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,54
49,44,45,45,28,27,45,45,45,45,45,45,45,28,23,23,27,45,45,45,45,45,45,45,28,27,45,45,46,54
112,113,113,34,22,24,37,115,115,98,113,113,34,22,23,23,24,37,113,113,98,113,113,34,22,24,37,113,113,119
49,0,1,1,50,49,1,1,2,83,0,1,1,50,23,23,49,1,1,2,83,0,1,1,50,49,1,1,2,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,24,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,24,54
49,22,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,23,23,24,83,22,23,23,23,23,23,23,24,54
49,44,45,45,45,45,45,45,46,83,44,45,45,45,45,45,45,45,45,46,83,44,45,45,45,45,45,45,46,54
128,149,149,149,149,149,149,149,149,146,149,149,149,149,149,149,149,149,149,149,146,149,149,149,149,149,149,149,149,135
